使用生成的对角线模板
阈值: 0.9
找到 682 个匹配结果:
Block 5, Step 30, 相似度: 0.9299
Block 12, Step 28, 相似度: 0.9299
Block 12, Step 24, 相似度: 0.9297
Block 13, Step 18, 相似度: 0.9297
Block 13, Step 25, 相似度: 0.9297
Block 13, Step 24, 相似度: 0.9297
Block 12, Step 27, 相似度: 0.9297
Block 13, Step 23, 相似度: 0.9296
Block 12, Step 25, 相似度: 0.9296
Block 12, Step 26, 相似度: 0.9296
Block 14, Step 29, 相似度: 0.9296
Block 13, Step 26, 相似度: 0.9296
Block 13, Step 22, 相似度: 0.9296
Block 13, Step 19, 相似度: 0.9295
Block 13, Step 21, 相似度: 0.9295
Block 13, Step 20, 相似度: 0.9295
Block 7, Step 30, 相似度: 0.9294
Block 2, Step 30, 相似度: 0.9294
Block 13, Step 27, 相似度: 0.9294
Block 13, Step 28, 相似度: 0.9292
Block 10, Step 28, 相似度: 0.9291
Block 14, Step 30, 相似度: 0.9291
Block 16, Step 30, 相似度: 0.9290
Block 0, Step 21, 相似度: 0.9288
Block 14, Step 5, 相似度: 0.9288
Block 8, Step 8, 相似度: 0.9288
Block 13, Step 29, 相似度: 0.9288
Block 10, Step 29, 相似度: 0.9281
Block 10, Step 30, 相似度: 0.9281
Block 11, Step 6, 相似度: 0.9280
Block 8, Step 9, 相似度: 0.9274
Block 13, Step 30, 相似度: 0.9274
Block 0, Step 7, 相似度: 0.9270
Block 14, Step 0, 相似度: 0.9267
Block 14, Step 1, 相似度: 0.9258
Block 8, Step 10, 相似度: 0.9256
Block 14, Step 4, 相似度: 0.9246
Block 8, Step 26, 相似度: 0.9245
Block 11, Step 5, 相似度: 0.9244
Block 8, Step 27, 相似度: 0.9243
Block 8, Step 25, 相似度: 0.9242
Block 14, Step 2, 相似度: 0.9241
Block 8, Step 11, 相似度: 0.9240
Block 8, Step 24, 相似度: 0.9238
Block 14, Step 3, 相似度: 0.9238
Block 8, Step 28, 相似度: 0.9237
Block 8, Step 23, 相似度: 0.9235
Block 8, Step 22, 相似度: 0.9233
Block 8, Step 12, 相似度: 0.9232
Block 8, Step 21, 相似度: 0.9230
Block 8, Step 29, 相似度: 0.9230
Block 8, Step 20, 相似度: 0.9228
Block 0, Step 12, 相似度: 0.9227
Block 0, Step 8, 相似度: 0.9226
